X [m],Y [m],Z [m],Porosity,Volume [m^3],pH,pe,Total H+ [m],Total Ca++ [m],Total Na+ [m],Total K+ [m],Total Mg++ [m],Total CO3-- [m],Total Cl- [m],Total UO2++ [m],Total O2(aq) [m],Total H4(SiO4) [m],Total Fe++ [m],Total Al+++ [m],Total SO4-- [m],OH- [M],CH4 [M],Al(OH)4- [M],Al(OH)3 [M],NaAl(OH)4 [M],Al(OH)2+ [M],HCO3- [M],CO2 [M],Na(HCO3) [M],Mg(HCO3)+ [M],CaCO3 [M],Na(CO3)- [M],FeCO3 [M],Fe(OH)CO3 [M],Ca(SO4) [M],Ca(HCO3)+ [M],MgCl+ [M],Fe+++ [M],FeCl+ [M],Fe(SO4) [M],Fe(OH)+ [M],Fe(OH)2+ [M],Fe(OH)3 [M],Fe(CO3)2-- [M],H2(aq) [M],Mg(SO4) [M],Mg(CO3) [M],U++++ [M],Ca2UO2(CO3)3 [M],CaUO2(CO3)3-- [M],UO2(CO3)3---- [M],MgUO2(CO3)3-- [M],Mg2UO2(CO3)3 [M],UO2(CO3)2-- [M],UO2(CO3) [M],UO2(OH)+ [M],UO2(OH)2 [M],U(OH)4 [M],UO2+ [M],HS- [M],H2S [M],Fe(HS)+ [M],SO3-- [M],S2O3-- [M],Na(S2O3)- [M],Mg(S2O3) [M],Ca(S2O3) [M],H(SO3)- [M],H(SO4)- [M],Smectite_MX80 VF [m^3 mnrl/m^3 bulk],Quartz VF [m^3 mnrl/m^3 bulk],Gypsum VF [m^3 mnrl/m^3 bulk],Pyrite VF [m^3 mnrl/m^3 bulk],Calcite VF [m^3 mnrl/m^3 bulk],Dolomite VF [m^3 mnrl/m^3 bulk],Siderite VF [m^3 mnrl/m^3 bulk],Uraninite VF [m^3 mnrl/m^3 bulk],Smectite_MX80 Rate [mol/m^3/sec],Quartz Rate [mol/m^3/sec],Gypsum Rate [mol/m^3/sec],Pyrite Rate [mol/m^3/sec],Calcite Rate [mol/m^3/sec],Dolomite Rate [mol/m^3/sec],Siderite Rate [mol/m^3/sec],Uraninite Rate [mol/m^3/sec],Total Sorbed H+ [mol/m^3],Total Sorbed Ca++ [mol/m^3],Total Sorbed Na+ [mol/m^3],Total Sorbed K+ [mol/m^3],Total Sorbed Mg++ [mol/m^3],Total Sorbed CO3-- [mol/m^3],Total Sorbed Cl- [mol/m^3],Total Sorbed UO2++ [mol/m^3],Total Sorbed O2(aq) [mol/m^3],Total Sorbed H4(SiO4) [mol/m^3],Total Sorbed Fe++ [mol/m^3],Total Sorbed Al+++ [mol/m^3],Total Sorbed SO4-- [mol/m^3],Material ID
-11.553816249999999,-0.38525016875,0.0,0.75,0.458451,6.805381,13.62276,0.002217238,0.0194108,0.1399661,0.002089267,0.01466735,0.001933703,0.1884835,1.149824e-14,3.114925e-05,0.0001819701,4.722942e-05,1.00267e-16,0.01005481,8.963314e-08,0.0,7.281563e-17,2.283492e-17,9.103836e-19,3.418423e-18,0.001345153,0.0003350784,5.442161e-05,5.331174e-05,2.526382e-06,7.575243e-07,9.319265e-18,4.661293e-05,0.002044081,8.865951e-05,0.001508926,4.621487e-15,3.209616e-16,9.06527e-17,8.675708e-19,4.54391e-07,3.649248e-08,5.697649e-22,0.0,0.001173804,1.003683e-06,0.0,1.019707e-14,1.099345e-15,1.439491e-17,1.202905e-16,9.697743e-19,2.934123e-17,6.041772e-18,1.202507e-19,6.996186e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.951579e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396493e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-12.11663125,-0.034781183125,0.0,0.75,0.537329,6.808624,13.63489,0.002214918,0.01933593,0.1441262,0.002194631,0.01519091,0.00193372,0.1932245,9.569384e-15,3.394546e-05,0.0001819701,4.664821e-05,1.00267e-16,0.01026621,9.049434e-08,0.0,7.299513e-17,2.267336e-17,9.360563e-19,3.375215e-18,0.001346545,0.0003322331,5.587647e-05,5.476132e-05,2.514193e-06,7.852481e-07,8.884199e-18,4.60377e-05,0.002050963,8.773728e-05,0.001586965,4.548395e-15,3.115282e-16,8.713196e-17,8.294771e-19,4.500904e-07,3.635082e-08,5.510133e-22,0.0,0.001222496,1.036784e-06,0.0,8.464582e-15,9.302383e-16,1.241302e-17,1.056535e-16,8.673312e-19,2.494819e-17,5.064018e-18,1.010838e-19,5.914197e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.988229e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.881458e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-12.759317499999998,-0.512132814375,0.0,0.75,0.7785482,6.813111,13.64625,0.002211835,0.01921213,0.1492541,0.002321722,0.01579682,0.001933741,0.1988851,8.963782e-15,3.727442e-05,0.0001819701,4.59539e-05,1.00267e-16,0.01054436,9.165758e-08,0.0,7.323647e-17,2.245962e-17,9.681146e-19,3.316146e-18,0.001348647,0.0003285287,5.768961e-05,5.640482e-05,2.499386e-06,8.211502e-07,8.437985e-18,4.535075e-05,0.002060604,8.650964e-05,0.001679465,4.445973e-15,3.015259e-16,8.363729e-17,7.902057e-19,4.447192e-07,3.621218e-08,5.332268e-22,0.0,0.001283058,1.076676e-06,0.0,7.902241e-15,8.900894e-16,1.216858e-17,1.056052e-16,8.83596e-19,2.401285e-17,4.783773e-18,9.577937e-20,5.6499e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.037006e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.76771e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-13.4429175,-0.9693879124999999,0.0,0.75,0.6294505,6.818284,13.65666,0.002208343,0.01907267,0.155075,0.002466076,0.01648589,0.001933764,0.2053165,8.227633e-15,4.105698e-05,0.0001819701,4.516504e-05,1.00267e-16,0.01085968,9.300544e-08,0.0,7.351041e-17,2.221692e-17,1.004549e-18,3.249137e-18,0.001351004,0.0003243335,5.974193e-05,5.8248e-05,2.484005e-06,8.628676e-07,8.000499e-18,4.457036e-05,0.002070636,8.51602e-05,0.001786838,4.327602e-15,2.917463e-16,8.018041e-17,7.517144e-19,4.385125e-07,3.604938e-08,5.164152e-22,0.0,0.001352534,1.122527e-06,0.0,7.225302e-15,8.364286e-16,1.174623e-17,1.041054e-16,8.890879e-19,2.270491e-17,4.428308e-18,8.895568e-20,5.297726e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.088913e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.884446e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-11.661057500000002,-1.065078775,0.0,0.75,0.5071646,6.806401,13.62459,0.002216568,0.01936935,0.1408352,0.00210902,0.01474454,0.001933706,0.1893252,1.25919e-14,3.163709e-05,0.0001819701,4.712621e-05,1.00267e-16,0.01011291,8.98781e-08,0.0,7.286925e-17,2.278945e-17,9.160556e-19,3.404752e-18,0.00134577,0.0003343186,5.474551e-05,5.351628e-05,2.523068e-06,7.641154e-07,9.23813e-18,4.651087e-05,0.002046952,8.836505e-05,0.00152074,4.598017e-15,3.1879e-16,9.010788e-17,8.602381e-19,4.535123e-07,3.649534e-08,5.669926e-22,0.0,0.001183895,1.009565e-06,0.0,1.115961e-14,1.209363e-15,1.591699e-17,1.332791e-16,1.076613e-18,3.232e-17,6.629457e-18,1.319814e-19,7.694155e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.964146e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.804412e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-12.3647025,-1.2602758375,0.0,0.75,0.665726,6.810861,13.63884,0.00221344,0.01925418,0.1462179,0.002243698,0.01539889,0.001933727,0.1953512,1.104822e-14,3.518634e-05,0.0001819701,4.638696e-05,1.00267e-16,0.01039729,9.104639e-08,0.0,7.311274e-17,2.257219e-17,9.495075e-19,3.345636e-18,0.001347795,0.0003305251,5.664076e-05,5.531436e-05,2.507083e-06,8.008448e-07,8.70942e-18,4.577932e-05,0.002056685,8.711111e-05,0.001619011,4.497156e-15,3.071185e-16,8.589905e-17,8.138289e-19,4.479332e-07,3.63336e-08,5.448827e-22,0.0,0.001247189,1.0518e-06,0.0,9.757803e-15,1.084777e-15,1.46407e-17,1.253444e-16,1.034858e-18,2.91753e-17,5.870857e-18,1.172858e-19,6.891925e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.014421e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.129958e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-13.02975125,-1.625404875,0.0,0.75,0.5323896,6.815594,13.65021,0.002210198,0.01912924,0.1517003,0.002380201,0.0160558,0.001933749,0.2014448,9.947419e-15,3.877262e-05,0.0001819701,4.563944e-05,1.00267e-16,0.01069109,9.228321e-08,0.0,7.336626e-17,2.234689e-17,9.837175e-19,3.283824e-18,0.00134994,0.0003266144,5.857181e-05,5.708998e-05,2.491969e-06,8.393979e-07,8.256689e-18,4.503974e-05,0.002066234,8.584308e-05,0.00171993,4.389268e-15,2.971116e-16,8.230815e-17,7.740637e-19,4.42147e-07,3.617462e-08,5.268663e-22,0.0,0.001312303,1.094957e-06,0.0,8.754102e-15,9.986353e-16,1.382415e-17,1.208541e-16,1.018406e-18,2.702139e-17,5.331056e-18,1.068523e-19,6.333173e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06398e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.320084e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19.830356249999998,-5.28654125,0.0,0.75,0.6332498,6.856018,-0.4249592,0.002248859,0.02087443,0.09040311,0.0008862372,0.009156257,0.001933518,0.1354177,4.328786e-15,9.258951e-09,0.0001819701,5.375097e-05,1.002669e-16,0.007185433,9.796001e-08,0.0,7.502406e-17,2.152757e-17,6.384722e-19,2.79796e-18,0.001410291,0.0003214425,3.883741e-05,3.955038e-05,3.651667e-06,5.908208e-07,7.265393e-07,3.658468e-08,0.001857506,0.0001112596,0.0007688345,2.320361e-18,1.492065e-05,4.443224e-06,6.121327e-08,3.227645e-10,2.985652e-11,4.8489e-11,1.882622e-16,0.0006305844,8.576383e-07,0.0,3.963221e-15,3.226894e-16,3.186457e-18,2.087362e-17,1.317269e-19,5.958499e-18,1.123965e-18,2.0246e-20,1.356728e-20,4.768836e-22,5.179633e-20,3.543453e-27,3.525504e-27,8.614368e-28,2.544405e-19,0.0,0.0,0.0,0.0,2.196178e-19,2.604641e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.140171e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20.59705,-5.378475374999999,0.0,0.75,0.6844589,6.855571,-0.545136,0.002249114,0.0209041,0.09023589,0.0008849123,0.009171963,0.001933518,0.1354119,3.58088e-15,7.009791e-09,0.0001819701,5.375549e-05,1.002669e-16,0.007151675,9.785746e-08,0.0,7.500364e-17,2.154427e-17,6.371397e-19,2.802969e-18,0.001409882,0.000321686,3.875565e-05,3.962353e-05,3.654035e-06,5.889598e-07,7.261487e-07,2.769758e-08,0.001851183,0.0001114446,0.0007704378,1.760642e-18,1.493126e-05,4.42285e-06,6.119603e-08,2.444216e-10,2.258672e-11,4.839665e-11,3.281034e-16,0.000628555,8.583544e-07,0.0,3.279009e-15,2.664422e-16,2.625721e-18,1.72384e-17,1.090261e-19,4.9167e-18,9.287182e-19,1.67333e-20,1.120199e-20,6.862188e-22,5.651521e-20,3.254836e-26,3.241742e-26,7.918783e-27,4.410392e-19,0.0,0.0,0.0,0.0,3.810893e-19,2.593339e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.025224e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.363631249999997,-5.2959905,0.0,0.75,0.5433701,6.855146,-0.6650838,0.002249354,0.02093215,0.09007545,0.0008836741,0.009186985,0.001933519,0.1354074,2.927705e-15,5.310099e-09,0.0001819701,5.375988e-05,1.002669e-16,0.007118371,9.776002e-08,0.0,7.498422e-17,2.156016e-17,6.358636e-19,2.807737e-18,0.00140949,0.0003219171,3.867729e-05,3.96939e-05,3.656311e-06,5.871837e-07,7.257635e-07,2.09816e-08,0.001844848,0.0001116215,0.0007719863,1.336571e-18,1.49412e-05,4.402633e-06,6.117852e-08,1.852007e-10,1.709771e-11,4.830791e-11,5.71158e-16,0.0006265225,8.590516e-07,0.0,2.681309e-15,2.174554e-16,2.138833e-18,1.407169e-17,8.918647e-20,4.010239e-18,7.584852e-19,1.366945e-20,9.142111e-21,9.748984e-22,6.091264e-20,2.975986e-25,2.966969e-25,7.245504e-26,7.636543e-19,1.067711e-29,0.0,0.0,0.0,6.605296e-19,2.582138e-08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.040899e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
